Model_ID,Global_Utility,Depth,Action_Type,Actor,Target,Action,Quantity
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Atlantis,Brobdingnag,Water,100
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Brobdingnag,Carpania,Timber,150
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Carpania,Atlantis,Timber,200
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Atlantis,Brobdingnag,Timber,125
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Brobdingnag,Carpania,Timber,175
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Carpania,Atlantis,Timber,200
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Create,Atlantis,Atlantis,CreateAlloys,25
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Brobdingnag,Atlantis,Water,175
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Carpania,Brobdingnag,Timber,175
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Atlantis,Brobdingnag,Timber,175
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Carpania,Brobdingnag,Water,200
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Create,Atlantis,Atlantis,CreateAlloys,25
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Transfer,Brobdingnag,Atlantis,Water,200
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Create,Carpania,Carpania,CreateElectronics,25
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Create,Carpania,Carpania,CreateElectronics,25
ed8ffa35501bff5a69e60e4802bbe221_333064,8.013333333333334,16,Create,Carpania,Carpania,CreateElectronics,25
d647539bab7cf6af4cbe9977b527a04e_143869,8.12,16,Transfer,Atlantis,Brobdingnag,Water,100
d647539bab7cf6af4cbe9977b527a04e_143869,8.12,16,Transfer,Brobdingnag,Carpania,Timber,150
d647539bab7cf6af4cbe9977b527a04e_143869,8.12,16,Transfer,Carpania,Atlantis,Timber,200
d647539bab7cf6af4cbe9977b527a04e_143869,8.12,16,Transfer,Atlantis,Brobdingnag,Timber,125
d647539bab7cf6af4cbe9977b527a04e_143869,8.12,16,Transfer,Brobdingnag,Carpania,Timber,175
