Model_ID,Global_Utility,Depth,Action_Type,Actor,Target,Action,Quantity
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Atlantis,Brobdingnag,Timber,200
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Brobdingnag,Carpania,Timber,175
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Carpania,Brobdingnag,Water,75
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Atlantis,Brobdingnag,Timber,150
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Brobdingnag,Carpania,Water,175
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Carpania,Brobdingnag,Water,150
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Transfer,Atlantis,Brobdingnag,Water,150
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
f6b285bf1e88e2a1c9499f18f3bae301_185975,3.3733333333333335,9,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Atlantis,Brobdingnag,Timber,200
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Brobdingnag,Carpania,Timber,175
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Carpania,Brobdingnag,Water,75
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Atlantis,Brobdingnag,Timber,150
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Brobdingnag,Carpania,Water,175
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Carpania,Brobdingnag,Water,150
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Atlantis,Brobdingnag,Water,150
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Carpania,Brobdingnag,Timber,100
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Atlantis,Carpania,Water,175
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Brobdingnag,Carpania,MetallicElements,200
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Carpania,Brobdingnag,Timber,150
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Atlantis,Brobdingnag,Water,125
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Transfer,Brobdingnag,Carpania,Water,200
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Create,Carpania,Carpania,CreateAlloys,25
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Create,Carpania,Carpania,CreateAlloys,25
b419683ec0a385c507881f8ba2c78c7c_122425,3.4800000000000004,16,Create,Carpania,Carpania,CreateAlloys,25
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Atlantis,Brobdingnag,Timber,200
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Brobdingnag,Carpania,Timber,175
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Carpania,Brobdingnag,Water,75
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Atlantis,Brobdingnag,Timber,150
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Brobdingnag,Carpania,Water,175
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Carpania,Brobdingnag,Water,150
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Atlantis,Brobdingnag,Water,150
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Carpania,Brobdingnag,Timber,100
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Atlantis,Carpania,Water,175
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Brobdingnag,Carpania,MetallicElements,200
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Carpania,Brobdingnag,Timber,150
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Atlantis,Brobdingnag,Water,125
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Transfer,Brobdingnag,Carpania,Water,200
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Create,Carpania,Carpania,CreateAlloys,25
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Create,Carpania,Carpania,CreateAlloys,25
3b568cc9d4d6065d34df27ed67f600f5_153342,7.793333333333334,16,Create,Carpania,Carpania,CreateAlloys,25
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Atlantis,Brobdingnag,Timber,200
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Brobdingnag,Carpania,Timber,175
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Carpania,Brobdingnag,Water,75
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Atlantis,Brobdingnag,Timber,150
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Brobdingnag,Carpania,Water,175
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Carpania,Brobdingnag,Water,150
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Atlantis,Brobdingnag,Water,150
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Carpania,Brobdingnag,Timber,100
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Atlantis,Carpania,Water,175
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Brobdingnag,Carpania,MetallicElements,200
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Carpania,Brobdingnag,Timber,150
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Atlantis,Brobdingnag,Water,125
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Transfer,Brobdingnag,Carpania,Water,200
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Create,Carpania,Carpania,CreateElectronics,25
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Create,Carpania,Carpania,CreateElectronics,25
23053f3d1c57189e1b6e5f066fa96f3f_394079,7.846666666666667,16,Create,Carpania,Carpania,CreateElectronics,25
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Atlantis,Brobdingnag,Timber,200
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Brobdingnag,Carpania,Timber,175
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Carpania,Brobdingnag,Water,75
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Atlantis,Brobdingnag,Timber,150
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Brobdingnag,Carpania,Water,175
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Carpania,Brobdingnag,Water,150
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Atlantis,Brobdingnag,Water,150
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Create,Brobdingnag,Brobdingnag,CreateAlloys,25
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Carpania,Brobdingnag,Timber,100
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Atlantis,Carpania,Water,175
96ae550a0d82d81492f66ab74a808fc6_375906,7.960000000000001,13,Transfer,Brobdingnag,Carpania,MetallicElements,200
